run_name,species_code,common_name,season,region,start_year,end_year,start_date,end_date,rsquared,beta0
belspa2_breeding,belspa2,Bell's Sparrow,breeding,north_america,2007,2021,04-12,06-14,0.604746194906931,0.48170219066700737
belvir_breeding,belvir,Bell's Vireo,breeding,north_america,2007,2021,05-31,07-06,0.8707090085284064,0.1521352256353216
berhum_resident,berhum,Berylline Hummingbird,resident,north_america,2007,2021,01-04,12-28,0.8198462987659941,-0.03972571599526609
bewwre_breeding,bewwre,Bewick's Wren,breeding,north_america,2007,2021,05-24,06-28,0.9158788359771244,-0.00405302739717905
bicthr_breeding,bicthr,Bicknell's Thrush,breeding,north_america,2007,2021,06-14,07-13,0.7937179827311157,-0.9800802117053874
bkbcuc_breeding,bkbcuc,Black-billed Cuckoo,breeding,north_america,2007,2021,06-28,07-13,0.8828792571634517,-0.01512073819827191
bkbmag1_resident,bkbmag1,Black-billed Magpie,resident,north_america,2007,2021,02-22,04-26,0.9027033449615732,-0.05961872743979967
bkbplo_nonbreeding,bkbplo,Black-bellied Plover,nonbreeding,north_america,2007,2020,12-14,03-15,0.798244244726059,0.1843059956855136
bkbwar_breeding,bkbwar,Blackburnian Warbler,breeding,north_america,2007,2021,06-14,07-20,0.7796769450520635,0.2405565153972644
bkcchi_resident,bkcchi,Black-capped Chickadee,resident,north_america,2007,2021,03-22,05-10,0.9332333550210314,-0.264646573232824
bkchum_breeding,bkchum,Black-chinned Hummingbird,breeding,north_america,2007,2021,05-31,07-13,0.8984682390253134,-0.07793975109150905
bkcspa_breeding,bkcspa,Black-chinned Sparrow,breeding,north_america,2007,2021,05-10,07-13,0.7773172638732582,-0.7163101310806685
bkhgro_breeding,bkhgro,Black-headed Grosbeak,breeding,north_america,2007,2021,06-21,07-06,0.9048552571126758,-0.34750787091638236
bknsti_breeding,bknsti,Black-necked Stilt,breeding,north_america,2007,2021,06-07,07-06,0.7771296717069971,0.1534601086885954
bktgna_resident,bktgna,Black-tailed Gnatcatcher,resident,north_america,2007,2021,02-15,04-05,0.8351566040943033,-0.8566159011979212
bktspa_breeding,bktspa,Black-throated Sparrow,breeding,north_america,2007,2021,05-31,06-28,0.8445914656098387,0.32487941385725605
bkwvir_breeding,bkwvir,Black-whiskered Vireo,breeding,north_america,2007,2021,05-10,07-20,0.7609146944302589,0.4415642071580207
blakit1_nonbreeding,blakit1,Black Kite,nonbreeding,india,2007,2020,12-21,01-11,0.759828628514433,0.5240253466850728
blaplo1_resident,blaplo1,Blacksmith Lapwing,resident,south_africa,2007,2021,01-04,12-28,0.7224031571170971,0.6711026146932452
blctit4_resident,blctit4,Black-crested Titmouse,resident,north_america,2007,2021,01-25,03-22,0.9173476453884302,-0.25566321241014694
blhpar1_resident,blhpar1,Blue-headed Parrot,resident,latin_america,2007,2021,01-04,12-28,0.9161479514426756,-0.1107655166764411
blkoys_resident,blkoys,Black Oystercatcher,resident,north_america,2007,2020,11-23,02-08,0.8081121916932986,-0.3826263021209662
blkpho_breeding,blkpho,Black Phoebe,breeding,north_america,2007,2021,05-31,08-03,0.9239167327156328,-0.05750792204673797
blksco2_nonbreeding,blksco2,Black Scoter,nonbreeding,north_america,2007,2021,01-04,02-22,0.5820323490411478,0.6562347736897778
blkski_breeding,blkski,Black Skimmer,breeding,north_america,2007,2021,06-07,07-27,0.7620117308282647,0.3976029401758229
blkswi_breeding,blkswi,Black Swift,breeding,north_america,2007,2021,06-14,07-20,0.6361657326905776,-0.2937402727934376
blkter_breeding,blkter,Black Tern,breeding,north_america,2007,2021,06-07,06-28,0.7119737697173498,0.25694655758306323
blktur_nonbreeding,blktur,Black Turnstone,nonbreeding,north_america,2007,2020,12-14,02-15,0.8803778637261256,0.01003243666454498
blkvul_resident,blkvul,Black Vulture,resident,north_america,2007,2021,01-18,03-15,0.9087479419887076,0.0271160797548949
